Last Name,First Name,Team,SPG
Lovejoy,Ben,N.J,30487.80
Hickey,Thomas,NYI,29605.26
Gaunce,Cameron,PIT,47916.67
Greene,Matt,L.A,96153.85
Fischer,Christian,ARI,116785.71
Weber,Yannick,NSH,7876.71
Rowney,Carter,PIT,21296.30
Hainsey,Ron,CAR/PIT,34722.22
Barberio,Mark,COL/MTL,13333.33
Montour,Brandon,ANA,34259.26
Gorges,Josh,BUF,59090.91
Smith,Trevor,NSH,575000.00
Phaneuf,Dion,OTT,92592.59
Zolnierczyk,Harry,NSH,23958.33
Hossa,Marian,CHI,54794.52
Bouwmeester,Jay,STL,69135.80
Sergachev,Mikhail,MTL,231250.00
Michalek,Zbynek,ARI,1066666.67
Prosser,Nate,MIN,16666.67
Bonino,Nick,PIT,26250.00
Kulikov,Dmitry,BUF,95744.68
Williams,Justin,WSH,40625.00
McClement,Jay,CAR,16923.08
Conacher,Cory,T.B,52272.73
Weise,Dale,PHI,42968.75
Deslauriers,Nicolas,BUF,18452.38
Blandisi,Joseph,N.J,26481.48
Armia,Joel,WPG,15350.88
Calvert,Matt,CBJ,33846.15
Beaulieu,Nathan,MTL,13513.51
Holland,Peter,ARI/TOR,27083.33
Benn,Jordie,DAL/MTL,15492.96
Hamonic,Travis,NYI,99489.80
Fasching,Hudson,BUF,92500.00
Granlund,Mikael,MIN,39506.17
Hutton,Ben,VAN,13028.17
Vanek,Thomas,DET/FLA,38235.29
Cole,Ian,PIT,28395.06
Moore,Dominic,BOS,10975.61
Zaitsev,Nikita,TOR,11280.49
Quincey,Kyle,CBJ/N.J,17123.29
Smith,Ben,COL/TOR,16875.00
Thomson,Ben,N.J,211666.67
Zalewski,Michael,VAN,632500.00
Rendulic,Borna,VAN,575000.00
Oleksy,Steve,PIT,52272.73
Nutivaara,Markus,CBJ,12007.58
Simmonds,Wayne,PHI,52439.02
Liles,John-Michael,BOS,55555.56
Pouliot,Derrick,PIT,75681.82
Bieksa,Kevin,ANA,49382.72
Bergeron,Patrice,BOS,110759.49
Demers,Jason,FLA,67901.23
Reaves,Ryan,STL,14062.50
Bortuzzo,Robert,STL,27631.58
Claesson,Fredrik,OTT,21212.12
Bogosian,Zach,BUF,93750.00
MacKinnon,Nathan,COL,60975.61
Wagner,Chris,ANA,14534.88
Beauchemin,Francois,COL,55555.56
Gryba,Eric,EDM,23750.00
Pageau,Jean-Gabriel,OTT,13414.63
Gaudreau,Frederick,NSH,66111.11
Brouwer,Troy,CGY,60810.81
Parenteau,PA,N.J/NSH,18656.72
Bailey,Justin,BUF,21640.63
Pelech,Adam,NYI,21022.73
Brodie,T.J.,CGY,59000.00
Marchessault,Jonathan,FLA,10000.00
Boedker,Mikkel,S.J,64197.53
Noesen,Stefan,ANA/N.J,13636.36
Copp,Andrew,WPG,14453.13
Hornqvist,Patric,PIT,67857.14
Brown,Connor,TOR,7926.83
Henrique,Adam,N.J,54878.05
McGinn,Brock,CAR,14035.09
Rau,Kyle,FLA,38541.67
Fast,Jesper,NYR,14705.88
Boyle,Brian,T.B/TOR,26666.67
Matheson,Michael,FLA,11419.75
Sgarbossa,Michael,ANA/FLA,15789.47
Lazar,Curtis,CGY/OTT,22500.00
Liambas,Mike,NSH,575000.00
Savard,David,CBJ,47297.30
Moore,John,N.J,27777.78
Danault,Phillip,MTL,10670.73
Jaskin,Dmitrij,STL,19607.84
Dumont,Gabriel,T.B,14743.59
Niskanen,Matt,WSH,73717.95
Pysyk,Mark,FLA,15243.90
Lindberg,Oscar,NYR,10769.23
Tryamkin,Nikita,VAN,14015.15
Toews,Jonathan,CHI,191666.67
Ladd,Andrew,NYI,102564.10
Merrill,Jon,N.J,19607.84
Marner,Mitchell,TOR,12012.99
Corrado,Frank,PIT/TOR,150000.00
Zadorov,Nikita,COL,14866.07
Klein,Kevin,NYR,45833.33
Kulemin,Nikolay,NYI,59027.78
Galchenyuk,Alex,MTL,50819.67
Irwin,Matt,NSH,7770.27
Schultz,Nick,PHI,80357.14
Nosek,Tomas,DET,52272.73
Severson,Damon,N.J,7500.00
McDonald,Colin,PHI,208333.33
Beleskey,Matt,BOS,81632.65
Comeau,Blake,COL,31168.83
Di Giuseppe,Phillip,CAR,24097.22
Mitchell,Torrey,MTL,16666.67
Vermin,Joel,T.B,31944.44
Morrissey,Josh,WPG,10152.44
Backstrom,Nicklas,WSH,85365.85
Anderson,Josh,CBJ,8974.36
Granlund,Markus,VAN,12318.84
Perlini,Brendan,ARI,16228.07
Hathaway,Garnet,CGY,27788.46
Eller,Lars,WSH,52469.14
Buchnevich,Pavel,NYR,22560.98
Hendricks,Matt,EDM,44047.62
Brassard,Derick,OTT,61728.40
Draisaitl,Leon,EDM,11280.49
Dotchin,Jake,T.B,17571.43
Brodin,Jonas,MIN,58823.53
Ouellet,Xavier,DET,10833.33
Purcell,Teddy,L.A,133333.33
Siemens,Duncan,COL,291375.00
Marchand,Brad,BOS,62500.00
Vrbata,Radim,ARI,12345.68
Karlsson,William,CBJ,12345.68
Megna,Jayson,VAN,10344.83
Foligno,Marcus,BUF,28125.00
Versteeg,Kris,CGY,13768.12
Thorburn,Chris,WPG,18750.00
Flynn,Brian,MTL,18627.45
Frolik,Michael,CGY,60975.61
Steen,Alex,STL,85526.32
